comp_id,subscriber_id,category,logged_at,notes
comp_1,sub_1,BILLING,2025-05-12,Signal keeps dropping at the home address
comp_2,sub_2,MNP_PORT_OUT,2025-05-15,Threatening to cancel the connection this week
comp_3,sub_2,MNP_PORT_OUT,2025-05-29,"Disputes the bill, says overcharged for data"
comp_4,sub_2,BILLING,2025-04-08,Asked for the porting authorisation code
comp_5,sub_3,MNP_PORT_OUT,2025-05-30,Signal keeps dropping at the home address
comp_6,sub_4,NETWORK,2025-03-08,Asked for the porting authorisation code
comp_7,sub_4,MNP_PORT_OUT,2025-04-27,"Competitor offered a cheaper bundle, considering MNP"
comp_8,sub_4,NETWORK,2025-04-30,Wants to port out to another network
comp_9,sub_5,MNP_PORT_OUT,2025-05-27,Asked for the porting authorisation code
comp_10,sub_5,NETWORK,2025-03-14,"Competitor offered a cheaper bundle, considering MNP"
comp_11,sub_6,MNP_PORT_OUT,2025-05-23,Signal keeps dropping at the home address
comp_12,sub_6,MNP_PORT_OUT,2025-05-26,Escalated: no response on the previous complaint
comp_13,sub_7,MNP_PORT_OUT,2025-04-28,"Third complaint about dropped calls, still unresolved"
comp_14,sub_8,NETWORK,2025-04-11,"Third complaint about dropped calls, still unresolved"
comp_15,sub_9,NETWORK,2025-03-09,Signal keeps dropping at the home address
comp_16,sub_9,MNP_PORT_OUT,2025-05-09,Threatening to cancel the connection this week
comp_17,sub_9,BILLING,2025-05-15,Threatening to cancel the connection this week
comp_18,sub_9,BILLING,2025-05-10,Escalated: no response on the previous complaint
comp_19,sub_10,NETWORK,2025-04-14,Threatening to cancel the connection this week
comp_20,sub_10,MNP_PORT_OUT,2025-03-12,"Competitor offered a cheaper bundle, considering MNP"
comp_21,sub_10,MNP_PORT_OUT,2025-05-11,Escalated: no response on the previous complaint
comp_22,sub_11,BILLING,2025-05-05,Threatening to cancel the connection this week
comp_23,sub_11,MNP_PORT_OUT,2025-03-05,Signal keeps dropping at the home address
comp_24,sub_11,MNP_PORT_OUT,2025-03-25,"Disputes the bill, says overcharged for data"
comp_25,sub_11,BILLING,2025-03-29,Wants to port out to another network
comp_26,sub_13,GENERAL,2025-04-17,Signal keeps dropping at the home address
comp_27,sub_13,NETWORK,2025-04-24,Threatening to cancel the connection this week
comp_28,sub_14,NETWORK,2025-04-11,Signal keeps dropping at the home address
comp_29,sub_14,MNP_PORT_OUT,2025-04-19,Asked for the porting authorisation code
comp_30,sub_17,BILLING,2025-04-01,Wants to port out to another network
comp_31,sub_17,MNP_PORT_OUT,2025-04-19,Threatening to cancel the connection this week
comp_32,sub_19,NETWORK,2025-03-11,Escalated: no response on the previous complaint
comp_33,sub_20,MNP_PORT_OUT,2025-04-02,Escalated: no response on the previous complaint
comp_34,sub_20,NETWORK,2025-04-27,Asked for the porting authorisation code
